schedule_id,duty_id,driver_id,driver_display_name,operator_not_assigned,duty_start,duty_end,sequence,event_type,event_label,event_scope,line_code,direction,start_time,end_time,duration_minutes,trip_id,trip_ids,trip_count,origin_id,destination_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence_in_duty,sequence_in_bundle,mandatory_rest_required,has_valid_mandatory_rest,issue_severity,issue_codes,issue_explanation,explanation
448,2,2,Operador não atribuído (D2),True,04:20,13:32,20,driver_vehicle_change,Troca de veículo,driver,,,09:55,09:55,0,,,0,1,1,,6,1,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,21,driver_vehicle_change,Troca de veículo,driver,,,09:55,09:55,0,,,0,1,1,,6,1,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,22,normal_break,Intervalo normal,driver,,,09:55,10:47,52,,,0,1,1,,6,1,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,23,commercial_trip,Viagem,trip,1048,IDA,10:47,11:01,14,5544,5544,1,1,2,1,,,13,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,23,commercial_trip,Viagem,trip,1048,VOLTA,11:01,11:10,9,5547,5547,1,2,1,1,,,14,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,24,driver_vehicle_change,Troca de veículo,driver,,,11:10,11:10,0,,,0,1,1,,1,7,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,25,driver_vehicle_change,Troca de veículo,driver,,,11:10,11:10,0,,,0,1,1,,1,7,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,26,mandatory_rest,Descanso obrigatório,driver,,,11:10,11:45,35,,,0,1,1,,1,7,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,27,commercial_trip,Viagem,trip,1067,IDA,11:45,12:24,39,5565,5565,1,1,2,7,,,15,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,27,commercial_trip,Viagem,trip,1067,VOLTA,12:24,12:50,26,5572,5572,1,2,1,7,,,16,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,28,driver_vehicle_change,Troca de veículo,driver,,,12:50,12:50,0,,,0,1,1,,7,3,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,29,driver_vehicle_change,Troca de veículo,driver,,,12:50,12:50,0,,,0,1,1,,7,3,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,30,normal_break,Intervalo normal,driver,,,12:50,13:11,21,,,0,1,1,,7,3,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,31,commercial_trip,Viagem,trip,1048,IDA,13:11,13:25,14,5580,5580,1,1,2,3,,,17,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,31,commercial_trip,Viagem,trip,1048,VOLTA,13:25,13:32,7,5582,5582,1,2,1,3,,,18,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,32,duty_end,Fim de jornada,driver,,,13:32,13:32,0,,,0,1,1,,,,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,3,3,Operador não atribuído (D3),True,04:25,07:29,1,duty_start,Início de jornada,driver,,,04:25,04:25,0,,,0,1,1,,,,,,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,3,3,Operador não atribuído (D3),True,04:25,07:29,2,pullout,Soltura,driver,,,04:25,04:35,10,,,0,1,1,,,,,,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,3,3,Operador não atribuído (D3),True,04:25,07:29,3,commercial_trip,Viagem,trip,1048,IDA,04:35,04:43,8,5427,5427,1,1,2,3,,,1,1,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,3,Operador não atribuído (D3),True,04:25,07:29,3,commercial_trip,Viagem,trip,1048,VOLTA,04:43,04:48,5,5428,5428,1,2,1,3,,,2,2,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,3,Operador não atribuído (D3),True,04:25,07:29,4,normal_break,Intervalo normal,driver,,,04:48,05:00,12,,,0,1,1,,3,3,,,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,3,3,Operador não atribuído (D3),True,04:25,07:29,5,commercial_trip,Viagem,trip,1042,IDA,05:00,05:14,14,5433,5433,1,1,2,3,,,3,1,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,3,Operador não atribuído (D3),True,04:25,07:29,5,commercial_trip,Viagem,trip,1042,VOLTA,05:14,05:26,12,5436,5436,1,2,1,3,,,4,2,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,3,Operador não atribuído (D3),True,04:25,07:29,6,driver_vehicle_change,Troca de veículo,driver,,,05:26,05:26,0,,,0,1,1,,3,2,,,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,3,Operador não atribuído (D3),True,04:25,07:29,7,driver_vehicle_change,Troca de veículo,driver,,,05:26,05:26,0,,,0,1,1,,3,2,,,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,3,Operador não atribuído (D3),True,04:25,07:29,8,normal_break,Intervalo normal,driver,,,05:26,05:49,23,,,0,1,1,,3,2,,,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,3,3,Operador não atribuído (D3),True,04:25,07:29,9,commercial_trip,Viagem,trip,1048,IDA,05:49,06:01,12,5448,5448,1,1,2,2,,,5,1,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,3,Operador não atribuído (D3),True,04:25,07:29,9,commercial_trip,Viagem,trip,1048,VOLTA,06:01,06:08,7,5449,5449,1,2,1,2,,,6,2,False,False,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
