schedule_id,block_id,duty_id,driver_id,vehicle_id,sequence,event_type,event_label,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
428,6,101,,6,4,commercial_trip,Viagem,05:45,05:59,14,1,2,5447,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,6,101,,6,5,commercial_trip,Viagem,05:59,06:11,12,2,1,5450,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,6,101,,6,6,idle,Ociosa,06:11,06:30,19,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,101,,12,7,commercial_trip,Viagem,06:30,07:16,46,1,2,5477,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,101,,12,8,commercial_trip,Viagem,07:16,07:49,33,2,1,5490,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,101,,12,9,normal_break,Intervalo normal,07:49,08:25,36,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,7,101,,7,10,commercial_trip,Viagem,08:25,09:09,44,1,2,5515,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,7,101,,7,11,commercial_trip,Viagem,09:09,09:36,27,2,1,5523,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,7,101,,7,12,idle,Ociosa,09:36,09:55,19,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,101,,1,13,commercial_trip,Viagem,09:55,10:11,16,1,2,5531,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,101,,1,14,commercial_trip,Viagem,10:11,10:23,12,2,1,5535,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,101,,1,15,idle,Ociosa,10:23,10:47,24,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,101,,1,16,commercial_trip,Viagem,10:47,11:01,14,1,2,5544,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,101,,1,17,commercial_trip,Viagem,11:01,11:10,9,2,1,5547,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,101,,1,18,idle,Ociosa,11:10,11:35,25,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,101,,3,19,commercial_trip,Viagem,11:35,11:48,13,1,2,5557,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,101,,3,20,commercial_trip,Viagem,11:48,11:57,9,2,1,5558,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,101,,3,21,normal_break,Intervalo normal,11:57,12:30,33,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,101,,9,22,commercial_trip,Viagem,12:30,12:50,20,1,2,5573,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,101,,9,23,commercial_trip,Viagem,12:50,13:04,14,2,1,5575,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,101,,9,24,idle,Ociosa,13:04,13:20,16,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,101,,9,25,commercial_trip,Viagem,13:20,13:38,18,1,2,5583,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
